	JASPAR2018_vertebrates	IMAGE	HOMER	ENCODE	RSAT_vertebrates	HOCOMOCOv11_HUMAN	factorbook	SwissRegulon	gimme.vertebrate.v5.0
STAT5B	10.78	inf	10.14	14.2	13.58	10.76	10.08	10.1	inf
AHR	1.96	inf	2.04	2.18	2.08	2.02	2.22	2.02	inf
FOXM1	11.66	inf	11.38	15.0	14.69	12.52	11.96	12.52	inf
CDK2	1.94	inf	1.94	inf	inf	2.15	inf	inf	inf
T	10.84	inf	8.65	10.84	8.74	9.6	9.04	10.64	inf
TCF4	9.8	inf	11.04	10.8	9.7	10.74	10.98	11.0	inf
ARNTL	8.84	inf	9.06	8.32	8.7	8.36	7.84	8.32	inf
TERF1	5.36	inf	4.43	5.36	3.94	4.32	4.84	4.6	inf
NR4A1	18.88	inf	19.54	20.0	17.46	18.16	14.34	19.84	inf
JMJD6	69.36	inf	68.08	69.36	70.04	71.2	65.16	68.42	inf
AFF4	13.1	inf	12.98	13.1	13.7	14.48	12.7	13.26	inf
ARRB1	13.6	inf	14.3	18.62	18.56	14.53	15.0	14.28	inf
SPIB	26.42	inf	39.08	32.96	29.92	40.12	41.62	28.44	inf
E2F4	39.49	inf	44.05	inf	inf	33.98	38.68	inf	inf
NCOA3	4.34	inf	3.72	4.86	3.9	4.48	4.16	4.02	inf
ZNF644	10.15	inf	9.69	13.85	inf	9.92	13.85	10.23	13.85
ONECUT1	42.8	inf	45.57	42.8	47.12	44.78	2.91	45.57	inf
CHD1	9.1	inf	6.66	15.76	15.9	11.74	13.86	12.52	inf
ESR2	35.79	38.37	32.16	34.58	20.74	51.05	35.0	39.37	51.05
ELF1	24.18	inf	19.6	24.18	23.54	20.22	21.4	20.98	inf
POU5F1	8.26	inf	6.9	9.94	9.94	7.08	8.76	8.94	inf
PAX6	13.66	inf	14.66	14.22	12.02	14.86	14.64	13.48	inf
CDK6	11.57	inf	10.0	15.62	14.73	11.06	12.16	11.58	inf
RAD21	34.58	inf	34.74	34.58	38.42	35.16	27.16	33.38	inf
BRD1	17.46	inf	15.68	24.76	26.12	16.0	18.9	17.72	inf
CRY1	7.89	inf	7.05	9.73	12.34	8.8	12.8	10.52	inf
MAML3	10.44	inf	9.32	9.52	8.8	10.0	10.34	9.32	inf
IRF4	12.46	inf	12.56	13.26	13.56	13.22	12.26	13.26	inf
KLF4	9.74	inf	10.26	10.1	9.94	11.32	6.56	8.58	inf
LDB1	22.02	inf	20.22	22.04	22.58	22.64	21.68	12.16	inf
ZFX	22.54	inf	18.86	43.88	43.88	32.68	38.4	39.98	inf
KLF1	24.98	inf	26.18	24.98	27.44	27.08	24.08	26.18	inf
SOX2	5.8	inf	5.78	6.2	5.16	5.86	6.06	5.81	inf
NRF1	39.28	inf	43.88	44.94	43.24	38.08	41.18	43.88	inf
NR5A2	20.61	inf	25.72	inf	inf	24.7	14.96	inf	inf
NR1H2	20.62	inf	19.88	18.86	17.45	19.84	18.62	17.55	inf
HNF1B	19.26	inf	14.5	19.26	16.14	20.6	9.42	19.26	inf
NIPBL	7.56	inf	6.06	7.72	8.22	6.86	7.02	6.76	inf
MAFK	22.8	inf	22.34	21.26	18.64	23.56	20.78	19.52	inf
JMJD1C	10.84	inf	11.04	10.71	10.4	12.18	12.02	10.9	inf
GABPA	15.0	inf	15.12	15.0	13.76	15.68	14.74	15.72	inf
MYC	5.76	inf	5.52	6.06	6.04	6.1	6.1	5.9	inf
CEBPB	27.34	inf	19.98	27.34	25.84	22.18	22.42	27.1	inf
KDM6B	20.4	inf	17.06	36.3	35.14	23.45	26.3	25.86	inf
CDK8	7.76	inf	7.52	7.52	6.41	7.62	7.34	7.32	inf
BCL11A	21.48	inf	18.36	38.16	38.16	30.1	35.74	33.22	inf
SOX10	8.91	inf	15.64	8.33	inf	30.76	9.79	10.05	31.17
ARID1B	11.44	inf	10.56	19.62	19.68	13.8	18.8	18.98	inf
CDX2	8.52	inf	8.46	8.92	8.68	8.0	8.2	8.92	inf
