	JASPAR2018_vertebrates	IMAGE	HOMER	ENCODE	RSAT_vertebrates	HOCOMOCOv11_HUMAN	factorbook	SwissRegulon	gimme.vertebrate.v5.0
STAT5B	0.134	0.1148	0.1292	0.2072	0.2072	0.12	0.1098	0.1292	0.2078
AHR	0.0038	0.0024	0.002	0.003	0.0038	0.0036	0.0032	0.0022	0.0044
FOXM1	0.1612	0.1648	0.1358	0.2388	0.2136	0.16399999999999998	0.152	0.16399999999999998	0.2388
CDK2	0.003	0.0048	0.0021	0.0039	0.006	0.0126	0.0039	0.0039	0.0141
T	0.1302	0.1262	0.0864	0.1316	0.0846	0.108	0.094	0.1316	0.13699999999999998
TCF4	0.1154	0.1306	0.1264	0.1166	0.1	0.1278	0.1274	0.1272	0.1176
ARNTL	0.0882	0.0842	0.091	0.0828	0.0804	0.0684	0.0722	0.08199999999999999	0.0862
TERF1	0.023	0.0186	0.0182	0.023	0.0184	0.02	0.0214	0.0182	0.0174
NR4A1	0.3232	0.3322	0.3692	0.3072	0.2786	0.3028	0.3158	0.3106	0.33
JMJD6	0.8068	0.8532	0.8478	0.8116	0.8290000000000001	0.8646	0.8372	0.8478	0.8546
AFF4	0.1514	0.1748	0.1568	0.1808	0.1892	0.1802	0.162	0.1568	0.1818
ARRB1	0.238	0.3226	0.2114	0.3386	0.3596	0.2412	0.2584	0.3278	0.3386
SPIB	0.465	0.4634	0.6354	0.5978	0.5114	0.652	0.6268	0.544	0.6376
E2F4	0.6593	0.6773	0.7377	0.7986	0.7372	0.5872	0.7991	0.8058	0.8251
NCOA3	0.0094	0.02	0.013	0.0158	0.0112	0.0184	0.0172	0.0166	0.0184
ZNF644	0.1381	0.1522	0.1514	0.1747	0.2105	0.1173	0.1897	0.1173	0.1997
ONECUT1	0.7672	0.7924	0.7884	0.7672	0.7809999999999999	0.7756	0.0078	0.7884	0.7672
CHD1	0.1052	0.1644	0.0452	0.263	0.263	0.1648	0.193	0.202	0.2348
ESR2	0.7107	0.7424	0.6674	0.7163	0.4531	0.7846	0.7618	0.7368	0.7846
ELF1	0.4656	0.3772	0.3906	0.4328	0.4284	0.4104	0.4282	0.3888	0.3834
POU5F1	0.0738	0.0644	0.056	0.1302	0.1316	0.0572	0.0866	0.0886	0.1302
PAX6	0.2016	0.1894	0.1988	0.1908	0.1536	0.2004	0.199	0.1696	0.195
CDK6	0.1538	0.1336	0.117	0.2644	0.2644	0.126	0.1692	0.1712	0.2644
RAD21	0.487	0.5078	0.5152	0.487	0.5244	0.5108	0.4758	0.5152	0.5329999999999999
BRD1	0.3206	0.4532	0.326	0.5408	0.5738	0.4268	0.47	0.4954	0.5112
CRY1	0.0504	0.117	0.071	0.105	0.1716	0.0876	0.1476	0.1522	0.1522
MAML3	0.1246	0.0486	0.1258	0.1014	0.0836	0.1132	0.1376	0.0988	0.0802
IRF4	0.1384	0.1586	0.139	0.1518	0.146	0.1608	0.1362	0.1518	0.1482
KLF4	0.1446	0.1362	0.1278	0.1216	0.1278	0.1738	0.0422	0.075	0.1962
LDB1	0.3028	0.1666	0.3066	0.4076	0.3412	0.426	0.4292	0.304	0.3546
ZFX	0.5156	0.7112	0.5238	0.8318	0.8318	0.7228	0.7934	0.7509999999999999	0.8109999999999999
KLF1	0.3522	0.4396	0.3934	0.4448	0.4558	0.4668	0.379	0.3934	0.4448
SOX2	0.029	0.0228	0.0202	0.0408	0.022	0.0406	0.045	0.0208	0.0462
NRF1	0.6348	0.6562	0.6996	0.6878	0.7294	0.6816	0.7026	0.6902	0.6684
NR5A2	0.2881	0.3546	0.3605	0.3656	0.3573	0.3426	0.2249	0.3603	0.3605
NR1H2	0.261	0.2556	0.2584	0.2522	0.2276	0.258	0.248	0.2472	0.2552
HNF1B	0.2492	0.2576	0.1732	0.2492	0.21600000000000005	0.2694	0.1052	0.2492	0.2564
NIPBL	0.0626	0.0432	0.036000000000000004	0.0738	0.0814	0.0474	0.0446	0.0494	0.0738
MAFK	0.2934	0.2994	0.2994	0.2706	0.244	0.2958	0.2796	0.255	0.2992
JMJD1C	0.1514	0.1234	0.1484	0.1514	0.1084	0.166	0.1524	0.1232	0.1114
GABPA	0.2402	0.2276	0.2668	0.2468	0.189	0.2234	0.2476	0.2228	0.2166
MYC	0.0458	0.049	0.0438	0.0458	0.0504	0.0462	0.042	0.0438	0.0378
CEBPB	0.5194	0.5444	0.3964	0.5154	0.5168	0.551	0.526	0.5154	0.509
KDM6B	0.5242	0.7436	0.5204	0.8986	0.8986	0.7218	0.8888	0.8048	0.8986
CDK8	0.065	0.053	0.0656	0.0628	0.0432	0.06	0.0558	0.052000000000000005	0.0508
BCL11A	0.4094	0.5112	0.3712	0.6002	0.6024	0.5292	0.6052	0.5676	0.6006
SOX10	0.0941	0.1386	0.3411	0.0407	0.4159	0.6	0.156	0.1446	0.6046
ARID1B	0.2006	0.2418	0.1372	0.3852	0.3852	0.2484	0.3272	0.299	0.3366
CDX2	0.0792	0.0722	0.0776	0.0884	0.0788	0.07400000000000001	0.08	0.0884	0.0662
ETS1	0.19	0.1376	0.1644	0.1916	0.225	0.1832	0.1962	0.191	0.1818
NR3C1	0.2146	0.2516	0.2386	0.2232	0.2224	0.2344	0.2402	0.2372	0.239
SUZ12	0.1856	0.2414	0.173	0.362	0.362	0.2344	0.242	0.2676	0.3226
BRCA1	0.2762	0.2952	0.2402	0.4266	0.4312	0.2858	0.3314	0.4018	0.3922
NRIP1	0.1498	0.1594	0.1212	0.1424	0.0492	0.1526	0.1586	0.1594	0.1604
GATA3	0.0894	0.08	0.1224	0.1144	0.0864	0.0954	0.0876	0.1224	0.0834
DAXX	0.4266	0.4204	0.4248	0.4272	0.3496	0.4236	0.4162	0.4056	0.4214
TP63	0.2864	0.3276	0.3208	0.361	0.361	0.3438	0.2778	0.3208	0.361
HNF4A	0.3192	0.3482	0.2956	0.3168	0.3046	0.36	0.335	0.3352	0.3296
ZNF143	0.0474	0.048	0.0794	0.0476	0.0794	0.0474	0.068	0.0738	0.08900000000000001
CTBP2	0.0716	0.1142	0.045	0.2099	0.2151	0.1142	0.1073	0.1142	0.2099
USP7	0.0542	0.0576	0.055	0.0908	0.1	0.0596	0.0598	0.057	0.0852
PRDM14	0.1246	0.1966	0.065	0.4024	0.4024	0.1966	0.2762	0.2674	0.4024
ESR1	0.0718	0.0856	0.0666	0.0744	0.0314	0.0694	0.0814	0.0638	0.0766
NFYA	0.2412	0.3042	0.2602	0.3666	0.3666	0.329	0.2924	0.3452	0.3318
MITF	0.5086	0.5034	0.4766	0.5146	0.4922	0.498	0.4866	0.4612	0.4852
SMAD2	0.1638	0.1586	0.1874	0.0922	0.1644	0.1854	0.1208	0.1134	0.1586
BCOR	0.1764	0.1968	0.166	0.33	0.3294	0.1812	0.2432	0.219	0.298
CTCFL	0.7694	0.8028	0.737	0.7534	0.7634	0.8316	0.7896	0.737	0.8
RARA	0.5056	0.6594	0.4794	0.7956	0.7894	0.6642	0.7472	0.7202	0.782
HMBOX1	0.1208	0.0827	0.0911	0.1376	0.1371	0.119	0.1	0.0832	0.0867
FLI1	0.1908	0.2538	0.1522	0.3876	0.3838	0.2384	0.3908	0.2772	0.3954
HDAC2	0.3522	0.4272	0.223	0.5112	0.5266	0.4166	0.4738	0.4488	0.4934
SMAD3	0.2114	0.2258	0.2232	0.2256	0.2362	0.2346	0.2088	0.2256	0.219
ZBTB16	0.5251	0.536	0.5163	0.5635	0.5261	0.5261	0.536	0.5163	0.5655
SMAD4	0.1588	0.1518	0.193	0.2262	0.2322	0.1786	0.2072	0.1924	0.2258
SOX11	0.0056	0.0038	0.0026	0.0038	0.0026	0.0026	0.0022	0.0026	0.0038
SIX2	0.3446	0.3846	0.5622	0.0158	0.471	0.539	0.004	0.0158	0.2924
SETDB1	0.0766	0.063	0.0616	0.1218	0.1242	0.0584	0.0616	0.0568	0.1218
CSNK2A1	0.3178	0.4094	0.2138	0.5414	0.5438	0.404	0.4896	0.483	0.5208
HOXA9	0.247	0.2416	0.2252	0.0488	0.0672	0.2206	0.0326	0.2042	0.2154
TAF2	0.2409	0.369	0.2351	0.3562	0.4318	0.369	0.2947	0.369	0.369
NFE2L2	0.225	0.294	0.2574	0.373	0.373	0.3026	0.274	0.2574	0.3024
LHX2	0.3042	0.299	0.2974	0.298	0.2236	0.2906	0.297	0.27	0.3002
KLF3	0.1056	0.0452	0.1218	0.0938	0.0714	0.1245	0.1152	0.0831	0.0348
GRHL2	0.1552	0.1424	0.4004	0.4034	0.4074	0.185	0.0416	0.4034	0.4208
RELA	0.0986	0.112	0.0838	0.0992	0.1076	0.1034	0.1058	0.0986	0.1056
HOXB13	0.107	0.0998	0.08800000000000001	0.1156	0.0526	0.1058	0.056	0.0776	0.0698
CREBBP	0.0404	0.045	0.037000000000000005	0.0568	0.045	0.0474	0.0458	0.0428	0.0548
TLE3	0.0812	0.139	0.1336	0.1266	0.14300000000000002	0.1328	0.1336	0.107	0.1184
CTCF	0.287	0.3348	0.3024	0.287	0.329	0.2886	0.2956	0.3024	0.3368
ESRRA	0.277	0.2802	0.274	0.2864	0.2648	0.273	0.25	0.277	0.2742
MEIS1	0.1266	0.1278	0.1386	0.0498	0.0324	0.132	0.0592	0.11	0.1188
NKX3-1	0.0684	0.0648	0.0652	0.0684	0.0648	0.091	0.0638	0.064	0.0578
YY1	0.1732	0.2126	0.2036	0.3134	0.3136	0.2176	0.2362	0.2262	0.3134
MBD2	0.7192	0.8214	0.7186	0.8788	0.8888	0.8012	0.825	0.8518	0.8688
NCOA1	0.0422	0.0382	0.0296	0.0402	0.013	0.0366	0.0348	0.0396	0.0426
DDX5	0.2044	0.2234	0.1778	0.1686	0.1864	0.0434	0.261	0.1872	0.261
PROX1	0.2538	0.248	0.2548	0.243	0.2202	0.2484	0.2448	0.242	0.2486
ATRX	0.4426	0.5046	0.4039	0.6409	0.6409	0.5052	0.5654	0.6194	0.6341
MYCN	0.3694	0.3688	0.3316	0.3768	0.3754	0.3288	0.3432	0.343	0.3276
YAP1	0.2306	0.23	0.2218	0.2182	0.2026	0.2242	0.2018	0.1838	0.2294
MED26	0.2218	0.3326	0.1734	0.4326	0.4372	0.2988	0.3726	0.355	0.4176
NFATC1	0.2672	0.4062	0.197	0.515	0.5498	0.3928	0.4292	0.4544	0.4846
SMARCA4	0.0236	0.0206	0.01	0.028	0.0336	0.0198	0.0234	0.0156	0.0378
NOTCH1	0.1222	0.1486	0.1232	0.1838	0.1838	0.1334	0.125	0.1238	0.1812
OTX2	0.3576	0.3204	0.3798	0.391	0.34700000000000003	0.3944	0.311	0.3576	0.3446
BRD2	0.0104	0.0566	0.0144	0.036000000000000004	0.038	0.0566	0.0154	0.0566	0.0566
CBFA2T2	0.0362	0.0384	0.0324	0.1156	0.127	0.0384	0.1086	0.0796	0.1086
GSPT2	0.1902	0.317	0.1694	0.449	0.449	0.257	0.3196	0.317	0.449
ICE2	0.2118	0.2141	0.2069	0.2118	0.2069	0.2096	0.1917	0.206	0.193
SNAPC4	0.0442	0.0673	0.0386	0.0842	0.0827	0.0337	0.0652	0.0701	0.0842
E2F1	0.5556	0.5836	0.5768	0.6878	0.6898	0.5418	0.6486	0.684	0.7132
ZNF750	0.2898	0.3546	0.3726	0.3482	0.3842	0.3134	0.3316	0.3224	0.3878
RBP2	0.6008	0.6957	0.6135	0.9033	0.8933	0.6798	0.6553	0.8047	0.8869
ELK1	0.7288	0.7643	0.6579	0.8922	0.8776	0.7691	0.8296	0.831	0.8769
CBFB	0.5388	0.7146	0.5308	0.8242	0.8242	0.7120000000000001	0.7948	0.7582	0.8242
LYL1	0.408	0.389	0.4124	0.3678	0.3026	0.3152	0.362	0.3358	0.3272
MAFB	0.2702	0.2774	0.3046	0.2826	0.3048	0.3168	0.3476	0.2702	0.3518
DUX4	0.711	0.7148	0.2076	0.711	0.715	0.7128	0.009000000000000001	0.711	0.7178
KLF9	0.588	0.586	0.5938	0.588	0.5786	0.6356	0.523	0.588	0.6216
HDAC1	0.5584	0.685	0.4054	0.8271	0.8365	0.6852	0.7458	0.7575	0.8252
POU2F2	0.0622	0.0522	0.0542	0.0544	0.0794	0.0472	0.0494	0.0542	0.069
FOXK1	0.2554	0.2918	0.2278	0.4355	0.4304	0.2819	0.2983	0.4426	0.4726
HIF1A	0.0794	0.078	0.0744	0.0794	0.0836	0.091	0.0772	0.0742	0.0714
LEF1	0.3523	0.3753	0.343	0.3447	0.2315	0.3617	0.36	0.3702	0.3072
IRF1	0.084	0.081	0.081	0.08	0.0594	0.0792	0.07400000000000001	0.0756	0.08
SNAPC1	0.2455	0.3693	0.1782	0.5332	0.5113	0.3693	0.3764	0.4843	0.545
EZH2	0.01	0.0092	0.0132	0.0148	0.0158	0.0148	0.0132	0.0132	0.0132
SMC1A	0.4152	0.4982	0.4504	0.4492	0.4796	0.4844	0.4544	0.4504	0.4726
NCOR	0.058	0.0522	0.062	0.0994	0.1	0.0626	0.0688	0.0828	0.0994
MYOD1	0.8212	0.7678	0.813	0.7784	0.831	0.8166	0.78	0.7936	0.8186
NFE2	0.252	0.3078	0.2776	0.2796	0.2818	0.3102	0.273	0.2784	0.3148
PCGF2	0.0204	0.0172	0.0194	0.045	0.0432	0.0216	0.0254	0.0216	0.045
EOMES	0.106	0.1016	0.1198	0.1144	0.1236	0.0936	0.1124	0.106	0.1174
RCOR1	0.0204	0.0344	0.0198	0.0212	0.0942	0.069	0.2196	0.0212	0.2204
KDM5A	0.4114	0.6064	0.3392	0.7298	0.7498	0.6064	0.6288	0.6844	0.6958
NR2C2	0.3717	0.4426	0.3512	0.3862	0.451	0.5229	0.3587	0.4426	0.5229
NCOA2	0.1454	0.1458	0.1066	0.128	0.0514	0.1366	0.1224	0.135	0.1394
SPI1	0.3698	0.3442	0.4832	0.5094	0.3406	0.496	0.4142	0.4254	0.4794
ZMYND11	0.0742	0.1198	0.0778	0.2722	0.2722	0.09	0.2168	0.1634	0.2722
SP1	0.5546	0.5976	0.6526	0.6984	0.6984	0.6456	0.6276	0.6756	0.6854
BRD4	0.0384	0.0354	0.0322	0.0384	0.0378	0.038	0.0356	0.0362	0.0342
PALB2	0.0736	0.1447	0.039	0.2089	0.1986	0.1207	0.1254	0.1674	0.2089
RNF2	0.1958	0.1774	0.1816	0.2676	0.2676	0.191	0.22	0.1664	0.2488
PGR	0.1174	0.1448	0.1442	0.1218	0.124	0.1224	0.1558	0.12	0.1594
NKX2-1	0.1802	0.1664	0.1678	0.1658	0.1484	0.16899999999999998	0.17	0.1598	0.166
TBP	0.1708	0.2018	0.1428	0.3266	0.3294	0.1998	0.2296	0.2522	0.3122
NR2F1	0.2044	0.2916	0.1746	0.6012	0.6012	0.2466	0.5922	0.349	0.6012
PAX8	0.298	0.098	0.0144	0.0314	0.3508	0.01	0.1552	0.0208	0.1552
KLF6	0.0634	0.0636	0.078	0.058	0.0788	0.0716	0.0528	0.0638	0.0928
NEUROD1	0.5248	0.5637	0.573	0.5098	0.564	0.5654	0.433	0.5727	0.5749
ETV1	0.7326	0.6868	0.6714	0.7326	0.5886	0.6364	0.6544	0.7326	0.5978
NCOR2	0.0208	0.0164	0.0186	0.0586	0.0578	0.0226	0.0344	0.0224	0.0586
NANOG	0.1052	0.103	0.07400000000000001	0.2186	0.2186	0.105	0.1544	0.1804	0.22
EZH1	0.1178	0.1494	0.1274	0.2616	0.2616	0.1448	0.1812	0.1836	0.2336
TP73	0.5916	0.6094	0.5984	0.5916	0.5932	0.6076	0.0074	0.5984	0.5974
TCF3	0.0818	0.051	0.0652	0.076	0.06	0.077	0.1008	0.0888	0.0828
EGLN2	0.172	0.1982	0.1826	0.1818	0.1876	0.1998	0.1816	0.1826	0.1964
NELFA	0.5122	0.6759999999999999	0.4304	0.8176	0.8434	0.6766	0.7236	0.7644	0.8048
JUND	0.3556	0.35100000000000003	0.35700000000000004	0.3536	0.3214	0.3504	0.3428	0.3516	0.3552
BRF2	0.0418	0.0493	0.0357	0.055	0.055	0.0279	0.0514	0.0464	0.0539
MED1	0.0518	0.0624	0.0522	0.0648	0.0648	0.0638	0.054000000000000006	0.0544	0.0528
POU4F2	0.0386	0.0254	0.0414	0.0512	0.0424	0.0378	0.038	0.0416	0.054000000000000006
CXXC4	0.6759999999999999	0.8074	0.6814	0.91	0.9116	0.7842	0.8356	0.9076	0.9074
RUNX1	0.0886	0.0556	0.0734	0.0896	0.0624	0.0522	0.0594	0.066	0.0556
ZC3H8	0.1276	0.1294	0.1262	0.1276	0.1286	0.1332	0.1152	0.1232	0.1134
KMT2A	0.2326	0.4018	0.1878	0.5258	0.5416	0.322	0.4252	0.4686	0.4752
MAF	0.0594	0.0744	0.065	0.1458	0.1536	0.0828	0.0636	0.0774	0.1346
SMAD1	0.659	0.6692	0.6682	0.659	0.6626	0.6698	0.6552	0.6682	0.6659999999999999
CREB1	0.1386	0.1606	0.147	0.14800000000000002	0.1592	0.1512	0.1416	0.14800000000000002	0.1362
GATA2	0.16399999999999998	0.1324	0.192	0.1422	0.0976	0.1586	0.1628	0.1324	0.1324
TRIM24	0.5528	0.6806	0.521	0.8108	0.8108	0.7204	0.7658	0.7562	0.8
PDX1	0.0584	0.1172	0.1364	0.0638	0.0524	0.0662	0.0736	0.081	0.0758
TERF2	0.0344	0.0274	0.0242	0.0344	0.024	0.0342	0.0312	0.039	0.031
GTF2B	0.0292	0.029	0.0288	0.0478	0.041	0.0344	0.033	0.0336	0.0478
TCF12	0.197	0.2164	0.1784	0.2812	0.2808	0.1734	0.2886	0.2224	0.2798
CDK9	0.1454	0.2502	0.1006	0.328	0.3262	0.1966	0.3068	0.2522	0.3208
PPARG	0.139	0.1054	0.1152	0.1132	0.0924	0.1462	0.107	0.1056	0.1
ELF3	0.4412	0.3968	0.4196	0.4466	0.2916	0.4384	0.3396	0.4434	0.4256
RUNX1T1	0.2216	0.3486	0.2128	0.4598	0.4688	0.3108	0.396	0.3782	0.4446
TRIM28	0.0578	0.0644	0.0634	0.0714	0.0714	0.0612	0.0568	0.0634	0.0698
E2F7	0.194	0.1966	0.2028	0.1966	0.147	0.1916	0.1884	0.1754	0.18600000000000005
IRF2	0.2721	0.2784	0.2837	0.2721	0.2471	0.2542	0.2493	0.2725	0.2642
ERG	0.0902	0.0772	0.1022	0.0874	0.0802	0.073	0.0746	0.0876	0.079
ZNF92	0.0064	0.0994	0.033	0.1142	0.1142	0.1178	0.2946	0.0204	0.2966
MEF2B	0.0722	0.135	0.2748	0.1426	0.0964	0.1008	0.1116	0.1482	0.1486
ARID1A	0.3718	0.4920000000000001	0.2704	0.6224	0.6224	0.4924	0.579	0.5288	0.6056
ZEB1	0.1706	0.2016	0.1264	0.3268	0.3268	0.2014	0.2638	0.2312	0.28800000000000003
EED	0.0272	0.0524	0.022	0.0614	0.065	0.0376	0.0236	0.0558	0.06
AR	0.0652	0.0744	0.0576	0.0652	0.0668	0.0506	0.051	0.0642	0.0696
GATAD1	0.2072	0.2778	0.1162	0.3974	0.4856	0.2778	0.2268	0.3882	0.42
PRKDC	0.2876	0.3466	0.3068	0.3822	0.397	0.355	0.3192	0.307	0.3664
RUNX2	0.0072	0.0098	0.0068	0.006	0.0082	0.0094	0.009000000000000001	0.0062	0.0096
KMT2B	0.3074	0.3612	0.2803	0.5227	0.5227	0.3618	0.3463	0.4832	0.4893
CLOCK	0.1054	0.1678	0.1576	0.1268	0.1724	0.1298	0.1546	0.1656	0.1656
ATF3	0.4774	0.4616	0.469	0.4542	0.4272	0.4678	0.4476	0.4368	0.4594
GFI1B	0.2716	0.3242	0.2696	0.2716	0.3145	0.3471	0.1788	0.2694	0.3554
remap2018	0.0998	0.1512	0.0964			0.0946	0.1198	0.099	
IKZF1	0.5589	0.6587	0.431	0.8187	0.8133	0.6718	0.8068	0.7283	0.8187
GATA1	0.4392	0.3724	0.477	0.469	0.4270000000000001	0.4292	0.445	0.4802	0.4136
TWIST1	0.2736	0.2614	0.3506	0.1696	0.2958	0.29600000000000004	0.0796	0.3508	0.3592
STAT1	0.128	0.156	0.1274	0.2078	0.2076	0.1674	0.1302	0.14400000000000002	0.1796
SND1	0.1218	0.1078	0.1094	0.1244	0.1384	0.1116	0.1018	0.109	0.1192
CHD8	0.0144	0.0168	0.0166	0.0208	0.0234	0.0174	0.0224	0.0168	0.0262
ASH2L	0.0362	0.0306	0.08	0.0616	0.0654	0.0312	0.0246	0.0616	0.07400000000000001
ASXL1	0.4362	0.603	0.424	0.7488	0.7796	0.5724	0.6158	0.7174	0.7632
